Date,Others,Tara BESS,BizDev & Carbon,GTB ,KBC Industrial,Hai Phong Green,CEBA Academy,REI & Peak,CPI ,DOS/NREL ,NIRAS/GEAPP,,,,,,,,,,,,
2025-10-20,"- Carbon market training (Anh/Hang/Trang)
- CFE 24/7 SG workshop (Erik)
- Pickleball idea - frisbee ","- Review data request for modelling and send Ecplx (Tung/Cong/Rob)
- Improve modelling, reporting and analysis for Emivest (Cong/Tung/Rob/Anh)
- Start early work on Ecplx modelling and reporting (Cong/Anh/Tung)
","- Terviva prep (Tung)
- GAP call 
- Next steps with Amaccao/Seraphinn - site visit and data request (Tung/Hang)
- Cont. carbon project document RAG/wrapper approach (Tinh/Aiden/Hang)
","- Prelim brief to pivot SLL workplan using market reference from other countries/regions (Anh/Tung)
- TCB tool and data review for next steps (Tung/Hang/Trang/Anh)
","- Cont. Tinh weekly workplan for FMP thesis (Tinh/Tung)
- Review IP portfolio under KBC and recommend top 3-4 IPs or tenants for further engagement and data request (Trang/Cong/Rob/Michelle)
- IP Data Extraction (Trang/Anh)
","- Confirm next steps with KBC - Aus visit, MOU (Tung/Hang)
- Engage with DAE with revised proposal and official dispatch (Hang/Tung)
- Hai Phong Leaders' work schedule when training abroad","- Support Corrina with 6-months check in (Anh/Trang/Tung)
- Further support for online Academy this week (Anh/Trang/Tinh) ","- Share i-RECs service or vendor list with Hue REI (Anh/Trang/Hang/Lauren)
- Resolve questions/ideas from George Jinquan (Cong/Rob/Tung)
- Follow up with CocoSolar and Entoria (Trang/Anh/Cong)",,,,,,,,,,,,,,,
2025-10-13,"- EAVCED training DPPA (5&6/11) (Trang/Cong/Tung)
- DFAT workshop
- HN 7th November (Tung)
","- Review draft report for Emivest (Cong/Tung/Rob/Anh)
- Reconnect with Ecoplexus for meeting arrangement (Tung)
- Request Ecplx data for modelling (Cong/Tung)
","- Amazon Device energy audit request discussion - outsource staff, personnel cert - MOIT (all)
- Seraphinn/Amaccao meeting (Hang/Aiden/Tung)
- GAP proposal (Michelle/Cong/Rob/Tung)
- Cont. carbon project document RAG/wrapper approach (Tinh/Aiden/Hang)","- Review updated tool for further sharing (Tung/Hang)
- Resume data collection and review for upcoming draft GHG assessment report (Hang/Trang/Anh)
- Brainstorm ideas to pivot SLL workplan using market reference from other countries/regions (Anh/Tung)","- Complete pitchdeck and share with KBC (Marc/Rob/Cong/Michelle)
- Tinh weekly workplan for FMP thesis (Tinh/Tung)
","- Finalize ENG and VIE proposal for sharing with KBC (Michelle/Marc/Hang/Trang)
- Draft MOU for Hai Phong based on proposal (Hang/Trang)
- Follow up with KBC and Saigontel on next steps (Tung/Hang)
","- Support with translation (Anh/Trang)
- Support with 6-month process (Anh/Trang)
- Review future retail tariff brief and 2-part pricing structure (Tung/Trang/Cong) ","- REI request for i-RECs service or vendor list (Anh/Trang/Lauren)
- Coordinate next steps with Jinquan and others (Anh/Cong/Trang)",,,,,,,,,,,,,,,
2025-10-06,"- BKK update
- Coworking space (Trang/Tung)
- DFAT carbon presentation (Hang/Lauren/Tung)","- Cont. draft report for Emivest (Anh/Cong/Tung)
- Cont. engage Ecoplexus for project data and feedback (Tung/Cong)
- FMP thesis update and review (Tinh/Tung/Cong/Rob)
- Introduce STB Giga to PHL team (Cong)","- Discuss internally on WtE Doxaco and possibly Seraphinn project (Hang/Marc/Aiden)
- Carbon project document RAG/wrapper approach (Tinh/Aiden/Hang)
","- Revise and update financed emission tool with BIDV feedback (Trang/Hang)
","- KBC pitch deck near completion - stats, graphs, visual (Michelle/Cong/Rob/Tung/Marc)","- Finalize proposal for internal sharing -  language, carbon, Tara, Josh (Tung/Hang/Marc)
",- 6-month follow up,"- Summarize meeting outcomes for REI and others (Anh/Cong/Trang)
- Review and discuss new offer from SmartSolar (Cong/Anh/Tung/Rob)
",,,,,,,,,,,,,,,
2025-09-29,"- BPP Showcase in CanTho
","- Progress update presentation for Tara (Anh/Cong/Trang)
- Draft report for Emivest (Anh/Cong/Tung)
- FMP thesis update and review (Tinh/Tung/Cong/Rob)
- Discuss BESS model with Ecoplexus and test project data (Cong/Tung/Anh)
","- KBC pitch deck sharing - IP landscape; KBC opportunity (Cong/Aiden/Rob/Marc)
- VIOT WtE project survey (Hang/Tung/Aiden)
","- Progress update presentation for Tara (Hang/Anh/Trang)
- Discuss request from BIDV - call Linh (Hang/Tung/others)
- Finalize and submit Scope 1& 2 report for BIDV (Hang/Tung/Anh)",,"- Next steps with Hai Phong, DAE and KBC (Hang/Marc/Tung/KBC)
","- Share photos and materials with brand reps - Nike, lululemon, REI (Anh/Trang)
- [delayed] Digital Content Translation Review (Anh/Trang/Tinh)
- Draft future retail electricity price (Trang/Tinh)",- Support meeting between Jinquan and SmartSolar (Cong/Anh/Trang),"- Review sensitive content for public version (Anh/Trang/Tung)
- Share public version (Anh/Trang/Tung)",,,,,,,,,,,,,,
2025-09-22,"- Tara catch up timing (Tung)
- KBC Data Center POC follow up (Tung)
- Tung on leave Wed, Fri","- Select one btm site for reporting (Cong/Tung/Anh)
- Connect with Hien and Ecoplexus technical team in Turkey for BESS model feedback (Cong/Tung/Rob)","- UNDP proposal follow up (Tung/Michelle/Lauren)
- KBC pitch deck finalizing - IP landscape; KBC opportunity (Cong/Aiden/Rob/Marc)
- WtE carbon and data request form follow up (Marc/Hang/Aiden)
- Retail price, FMP, RAG & supply chain data projects (Tinh/Trang/Aiden)","- Follow up with BIDV on training date (Hang/Tung/Anh)
",,"- Follow up with DAE and Mr Duong for next step with Hai Phong (Hang/Tung)
","-Linkedin post (Anh/Lauren) 
-CEBA post-event emails: facilitators-speakers-participants","- Review offer from SmartSolar (Cong/Rob/Anh)
","- Slide for Bangkok Climate Week (Anh/Trang/Tung)
- Review sensitive content for public version (Anh/Trang/Tung)",,,,,,,,,,,,,,
2025-09-15,"- Retail price, FMP, RAG & supply chain data projects (Tinh/Trang/Aiden)","- Check in with Ecoplexus on model feedback (Cong/Tung)
- Translate and review Vinergo model (Trang/Cong/Rob)","- Quick note/email recap GEAPP event and share materials (Cong/Anh)
- Big picture KBC pitch deck drafting (all)
","- Follow up with BIDV on financed emission calculations (Hang/Trang/Tung)
",,- Follow up with KBC on update for Hai Phong (Tung) ,"- Print with VAT (Trang/Tung)
- Finalize logistics - ? (Anh/Trang)
- Finalize content and translation (Anh/all)
- Prep for video interview ",- Update Tsheets with recent hours for REI (Cong/Anh),,,,,,,,,,,,,,,
2025-09-08,"- Marketing slidedeck input (Trang/Hang)
","- Check in with Ecoplexus on model feedback (Cong/Tung)
","- Brainstorm industrial park project (Marc/Cong/Tung)
- KBC DC deck sharing (Tung)
- Follow up lululemon if no response (Tung)
- Gather BESS insights during GEAPP event (Cong/Anh)","- Share the Scope 1&2 tool (instruction and survey form) to TCB (Hang/Tung/Trang)
- Share financed emission tool with BIDV (Hang/Tung/others)
- Prepare for BIDV financed emission tool (Tinh/Trang/Hang)",,- Follow up with KBC on update for Hai Phong (Tung) ,"- Send confirmation email (Trang/Anh)
- Finalize slides - external, DPPA (Anh/Tung/Aiden/Cong)
- Start slide translations (Anh/Trang/Tinh)
- Logistics final - coordinators, tables, Slido, printing (Trang/Anh/Hang/others)","- Faciliate call and site visit for Jinquan (Trang/Anh/Cong)
- Review offer from SmartSolar (Cong/Rob/Anh/Tung)
- Share ENS Solution results (Aiden/Trang/Rob)",- Final update for report (Anh/Trang),,,,,,,,,,,,,,
2025-09-03,"- Legal register review (Trang/Tung)
- Research EVN retail market pricing increase given local policies and context (Tinh/Trang)","- Exchange data with Ecoplexus where necessary (Cong/Tung)
- Follow up with Vero on workshop (Tung/Anh/Trang)","- ETP industrial park submission (Tung/Michelle/Lauren)
- Submit lululemon revision (Tung/Rob/Michelle)
- WtE carbon example (Aiden/Hang)
- Request more information for ViOT carbon project (Hang/ Tung)
- RAG for carbon PDD - Google Agentspace? (Tinh/Trang/Aiden)","- Follow up on client transition support for TCB (Tung)
- Complate the draft financed emission calculation example for BIDV (Hang/ Trang/ Tung)
",,,"- Finalize slides for training - carbon (Anh/Cong/Hang/Aiden)
- Interactive exercise - tables, DPPA (Anh/Trang/Aiden)
- Final logistics and external coordination (Anh/Trang)
- Shreeya's translation request (Anh/Trang/Tung)","- SmartSolar and Jinquan coordination for next steps (Cong/Anh)
- ENS Solution check results (Trang/Cong/Aiden/Rob)","- Review final draft for final report (Tung/Lauren)
- Submit final draft for internal (Tung)",,,,,,,,,,,,,,
2025-08-25,"- Holiday leave (all)
- Legal register update (Trang/Anh/Hang)
- TransitionZero Hai Phong solar projects (Tinh/Trang)","- Sensitivity and stress test new Excel model using projects data - Emivest, Sonion (Rob/Tung/all)
","- Hyosung questions (?)
- Follow up with lululemon (Tung)
- Review FMP analysis with Tinh (Cong/Tung/Rob) 
- Consider researching prediction for Pcl, cDPPA, retail electricity prices (Tung/Cong/Tinh)","- Resolve BIDV concerns on methodology and data collection - internal (Hang/Trang/Anh/PCAF?)
- Scope 3 calculation tool (Hang/Trang/Tinh)
- Biweekly meeting with BIDV (Hang/Tung)
- Follow up on carbon market Q&A (Hang/Tung)
- Review VBA and brainstorm security issues for banks (Tung/Tinh/Trang/Anh)",,"- Share internal SOW and finalize next steps with KBC (Tung/Hang)
","-  Cont. prepare slides for trainings - DPPA pricing, carbon (Cong/Hang/Anh/Trang)
- Coordinate with speakers and facilitators - slides
- Wait for Corrina's confirmation on lululemon email batch (Anh/Tung)","- Delegate ENS analysis to Trang and Aiden (Rob/Cong/Aiden/Trang)
- Follow up with REI and Jinquan on data request (Anh/Cong)","- Obtain feedback from CPI on draft report  (Anh/Tung)
- Submit final invoice for report (Lauren)",,,,,,,,,,,,,,
2025-08-18,"- Support Lauren with DFAT drafting (Hang/Aiden) 
- Support Marc with SAF situation in VN (Anh/Tung)
- Legal/policy register continuation (Trang/Tung/others)","- Internal sharing of Excel method and model (Cong/all)
- Setup call with Ecoplexus later this week (Cong/Tung)
- Feedback on FMP methodology and analysis by professor (Tinh/Tung)","- Submit lululemon proposal and request for call (Tung)
- Brainstorm ideas for industrial park pitch for KBC following DOS/NREL (all) ","- Carbon market presentation for Techcombank (Hang/Aiden/Trang/Tung)
- Support chi Tu and Dau on SLL execution? (Anh/Tung)",,"- Share WB LCCP materials with DAE (Tung)
- Revise proposal with focus on carbon market support and Decision 226 (Tung/Hang/Aiden)
- Update Josh on CarbonSim timing (Tung)","- CEBA Backdrop update? (Trang/Anh)
- Prepare slides for trainings - DPPA pricing, carbon (Cong/Hang/Anh/Trang)
- CEBA quiz presents (Trang/Anh)
- Support for Rob first visit to Vietnam - visa, hotel guide (Trang/Tung)
- Check with Sofitel on a room for Interview (Trang)","- Assess potential with SmartSolar (Cong/Anh)
- ENS Solution data analysis (Cong/Rob/Trang/Aiden)","- Submit draft final report (Anh/Tung/Lauren)
- Answer further questions from Albertus on fiscal study and TOR (Anh/Tung/Michelle)",2025-08-19,"- Carbon market presentation for Techcombank (Hang/Aiden/Trang/Tung)
- Resolve BIDV concerns on methodology and data collection - internal (Hang/Trang/Anh/PCAF?)
- Support chi Tu and Dau on SLL execution? (Anh/Tung)
- Review VBA and brainstorm security issues for banks (Tinh/Trang/Anh)",,,,,,,,,,,,
2025-08-11,"- Co-working space updated proposal (Trang/Hang/Tung) 
- Labor contracts processing (Trang/Hang) 
","- Ecoplexus EVN utility + storage resolve issues - PowerBI (Cong/Tinh/Trang/Tung)
- Further exercise for Trang and others (Cong/Trang)
- Review of PHL/LUPA utility solar+storage model (Cong/Svetlana/Erik/Sam)","- Revise and submit lululemon proposal (Tung/Michelle/Rob/Cong)
- Discuss collab opportunities with InfraCo (Tung/Cong)
- DPPA charge/fee projection along with FMP (Tung/Tinh)","- BIDV progress report/email  (Hang/Tung/Anh)
- BIDV branches training 12/8 (Hang/Anh/Trang)
",,"- Revise scope of work to remove excessive areas (Tung/Hang/all)
- Draft presentation slide for meeting with Hai Phong (Hang/Tung)
- Meeting with Hai Phong (new PIC-Mr.Thuấn?) 15/8","- Venue selection and onboarding (Anh/Tung/Lauren)
- Coordinate with external speakers (Anh/Trang)
- First round invitation (by 15/08) (Anh/Trang/Tung) ",- OPEX support,"- Cont. drafting final report with thoughts for future collab (Tung/Michelle/Lauren)
- Discuss with Albertus any fiscal policy study (Tung/Anh)",,,,,,,,,,,,,,
2025-08-04,"- BPP drafting (Hang/others)
- Carbon ETS follow up (Tung/Hang)
- Co-working space meeting (Tung/Hang/Trang) 
","- Ecoplexus EVN utility scale solar + storage progress - PowerBI (Cong/Tung/Rob)
- Sample BESS modelling exercise (Trang/Cong/Anh)
- Vero follow up (Tung/Anh)
","- PUMA polite decline (Tung/Michelle)
- FMP projection for DPPA valuation and RE developer perspective (Tinh/Cong/Tung/Rob)
- Saint Gobain NDA & proposal submission (Tung)
- lululemon follow up - HK black rain (Tung)","- Review VBA/Python guidance and user test for Scope 1 2 (Tinh/Trang/Hang/Anh)
- Reconnect with BIDV for next steps (Hang/Tung/Anh)
- CDP data sharing next steps (Hang)
",,"- Align with KBC on new content and engagement (all)
- Call with Josh on Hai Phong (Tung)
- Reconnect with Hai Phong City on revised proposal and dates (KBC/Hang/Tung)","- Submit Alpha review (Anh/Aiden/Tung)
- External speakers potential list (Anh/Tung/Cong/Hang)
- Chinese translator (Anh/Trang/Hang)
- Venue booking (Trang/Anh/Hang)
- Review supplier mapping (Tung/Aiden/Tinh/Michelle)
",- Align on next steps for Jinquan with REI (Tung),"- Review CPI fiscal study for Vietnam and brainstorm what is next for partnership (Anh/Tung/Michelle)
- Final report drafting 2 (Anh/Trang/Tung/Aiden/Lauren)
- Media coverage by HSBC and Eurocham inclusion in final report (Anh/Trang/Tung)
",,,,,,,,,,,,,,
2025-07-28,"- Giando NDA (Tung)
- Vero NDA (Tung)","- Review of PHL/LUPA utility solar+storage model (Cong/Svetlana/Erik/Sam)
- Ecoplexus EVN utility scale solar+storage model start (Cong/Tung/Tinh/Anh)
- DPPA valuation and strike price options for developers vs buyers (Tinh/Cong/Tung)
- Excel model data input exercise (Cong/Trang/Tung)","- Saint Gobain DPPA consulting pricing, chance and strategy (all)
- Update Sumitomo on carbon market and transition credit? (Tung/Marc)
- DFAT carbon market project review (Hang/Tung/Aiden/Lauren)
- Tung in Hanoi stakeholder engagment? (Hang/Anh)","- Final prep for Techcombank presentation - translation (Trang/Anh/Tung)
- Discuss with Tara on BIDV support (Tung/Anh/Hang) 
- Share Scope 1&2 report with TCB (report + present) (Hang/Anh/Tung)",,"- Josh follow up (Tung)
- Proposal review and KBC follow up (Marc/Aiden/Hang/Tung)
","- Alpha review progress & completion (Anh/Cong/Aiden/all)
- Continue with suppliers mapping using public information 2 (Trang/Tinh/Aiden)
- Venue Quotation for CEBA HCMC (Trang/Anh/Tung)",- Request Stride formal comm to Jinquan (Tung),"- UNEP Carlotta payment (Tung/Anh/Lauren)
- Final report drafting (Anh/Trang/Tung/Aiden/Lauren)",,,,,,,,,,,,,,
